country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Brazil,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,8.0,85.42,1250.0,Blue-Green,2011
El Salvador,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,7.92,85.42,1400.0,,2009 / 2010
China,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,7.92,85.33,1700.0,Green,2015
Guatemala,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,7.83,85.33,1770.0,Green,2014
Costa Rica,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,9.33,8.0,85.33,1300.0,Bluish-Green,2014
Costa Rica,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,7.92,85.33,1300.0,Bluish-Green,2014
Kenya,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,7.92,85.33,1600.0,Green,2012
Kenya,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,7.83,85.33,1200.0,Green,2012
Ethiopia,,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,8.08,85.33,,,2009/2010
Ethiopia,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,8.0,85.33,,,2009/2010
Guatemala,Bourbon,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,7.83,85.25,,Green,2016
Colombia,Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,7.92,85.25,1550.0,Green,2015
Colombia,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,7.92,85.25,1550.0,Green,2014
Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,8.0,85.17,1325.0,Green,2012
Guatemala,Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,7.92,85.17,1400.0,,2012
Ethiopia,Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,7.83,85.08,,Green,2016
Colombia,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,7.67,85.08,2560.0,,2015
Ethiopia,,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,10.0,8.08,85.08,1700.0,Green,2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,7.92,85.08,,Bluish-Green,2014
Colombia,Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,8.08,85.08,2136.0,Green,2012
United States (Hawaii),,,8.08,8.17,7.92,8.0,8.08,8.0,10.0,8.17,85.08,,,2010-2011
Ethiopia,,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,7.83,85.08,,,2010
United States (Hawaii),,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,7.92,85.08,,,
Uganda,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,8.0,85.0,1800.0,Green,2016
Colombia,Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,7.83,85.0,,Green,2016
Costa Rica,Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,7.92,85.0,1900.0,Green,2016
Mexico,Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,8.08,85.0,1300.0,Green,2015
Kenya,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,7.83,85.0,1.0,Green,2015
Kenya,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,7.83,85.0,1580.0,Green,2012
Brazil,Mundo Novo,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,8.0,85.0,1100.0,Green,2012
Mexico,Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,7.83,85.0,1400.0,,2010-2011
United States (Hawaii),,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,7.83,85.0,,,
Guatemala,,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,8.0,85.0,1325.88,,2009/2010
Colombia,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,7.83,84.92,,,2016
Colombia,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,7.83,84.92,1775.0,Green,2015
Taiwan,Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,7.92,84.92,800.0,Green,2015
"Tanzania, United Republic Of",Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,7.83,84.92,1620.0,Green,2014
Colombia,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,7.92,84.92,1775.0,Green,2012
Mexico,Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,8.17,84.92,1200.0,,2012
Brazil,Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,7.75,84.92,1200.0,Green,2011
Brazil,Catuai,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,7.92,84.92,1000.0,Green,2011
Kenya,,,8.0,7.67,7.83,8.17,7.92,7.75,10.0,7.58,84.92,,,2009-2010
Taiwan,Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,8.0,84.83,350.0,Green,2016
Uganda,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,7.83,84.83,1650.0,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,8.08,84.83,,,2012
Ethiopia,,,7.75,7.92,7.83,7.92,7.75,7.67,10.0,8.0,84.83,1750.0,,2009/2010
Ethiopia,,,7.42,7.92,7.92,8.0,7.83,7.83,10.0,7.92,84.83,1750.0,,2009/2010
Thailand,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,8.0,84.75,,Green,2015
Kenya,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,7.92,84.75,1800.0,Green,2014
Honduras,Catuai,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,8.17,84.75,1450.0,Green,2014
El Salvador,,,7.75,8.0,8.0,8.33,7.67,7.92,9.33,7.75,84.75,1200.0,,2010-2011
Nicaragua,,,7.83,7.58,7.58,7.83,7.75,7.67,10.0,8.5,84.75,925.0,,2009 - 2010
