country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Colombia,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,7.67,83.25,1483.0,Green,2014
Guatemala,Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,7.67,83.25,1500.0,Green,2014
Colombia,Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,7.58,83.25,1750.0,Green,2013
Mexico,Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,7.75,83.25,1300.0,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,7.67,83.25,,Bluish-Green,2012
Mexico,Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,7.67,83.25,,Green,2012
Mexico,Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,7.58,83.25,1000.0,Blue-Green,2012
Guatemala,Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,7.42,83.25,1310.64,Green,2012
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,7.58,83.25,1200.0,Blue-Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,7.58,83.25,175.0,Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,7.67,83.25,1775.0,Green,2012
Colombia,,,7.92,7.75,7.25,7.42,7.83,7.58,10.0,7.5,83.25,1700.0,,1T/2011
Colombia,,,8.0,7.67,7.67,7.25,7.67,7.5,10.0,7.5,83.25,1880.0,,4t/2010
Colombia,,,7.92,7.75,7.5,7.42,7.42,7.67,10.0,7.58,83.25,1800.0,,4T/2010
Brazil,Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,7.75,83.17,890.0,Green,2017 / 2018
Guatemala,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,7.67,83.17,1901.0,Green,2017
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,7.58,83.17,168.0,Green,2016
Peru,,,7.92,7.5,7.5,7.58,7.67,7.5,10.0,7.5,83.17,,Green,2017
Vietnam,Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,7.58,83.17,1550.0,,2017
Guatemala,Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,7.5,83.17,1500.0,Green,2016
Honduras,Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,7.5,83.17,1450.0,Blue-Green,2016
China,Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,7.67,83.17,1200.0,Green,2015
China,Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,7.67,83.17,1600.0,Green,2015
El Salvador,Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,7.5,83.17,1350.0,Green,2016
Guatemala,Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,7.5,83.17,1500.0,Green,2015
Guatemala,Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,7.42,83.17,1650.0,Green,2015
Kenya,SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,7.83,83.17,250.5,Bluish-Green,2014
Thailand,,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10.0,7.5,83.17,800.0,Bluish-Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10.0,7.67,83.17,1653.0,Bluish-Green,2014
Colombia,Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10.0,7.75,83.17,1775.0,,2014
Uganda,SL14,Washed / Wet,8.0,7.67,7.5,7.42,7.33,7.58,10.0,7.67,83.17,1800.0,Bluish-Green,2014
Colombia,,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10.0,7.58,83.17,,Green,2014
Honduras,Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10.0,7.67,83.17,1450.0,Green,2013
Honduras,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10.0,7.5,83.17,1350.0,Green,2014/2015
Guatemala,Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10.0,7.67,83.17,1524.0,Green,2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10.0,7.58,83.17,,Bluish-Green,2013
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10.0,7.58,83.17,1800.0,Green,2014
Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10.0,7.5,83.17,1310.64,Green,2013
Mexico,Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10.0,7.75,83.17,1500.0,Green,2013
Mexico,Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10.0,7.67,83.17,532.0,,2012
Mexico,Pacamara,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10.0,7.67,83.17,1089.0,,2012
Colombia,Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10.0,7.25,83.17,1775.0,Green,2012
Mexico,Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10.0,7.58,83.17,700.0,Green,2012
Colombia,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10.0,7.5,83.17,1750.0,Blue-Green,2012
Mexico,Typica,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,10.0,7.58,83.17,1380.0,,2012
Brazil,Mundo Novo,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10.0,7.5,83.17,1000.0,Green,2012
Brazil,Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10.0,7.67,83.17,950.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,9.33,7.5,83.17,1402.08,Green,2012
Brazil,Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10.0,7.58,83.17,1000.0,Blue-Green,2011
Brazil,,,7.58,7.75,7.67,7.5,7.67,7.58,10.0,7.42,83.17,900.0,,2011
El Salvador,,,7.42,7.83,8.17,8.08,7.17,7.58,10.0,7.58,83.17,1200.0,,2010-2011
Ethiopia,,,7.75,8.0,7.67,8.08,7.83,7.92,9.33,7.92,83.17,1850.0,,August to December
Colombia,Caturra,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,10.0,7.5,83.08,1799.0,Green,2016
Colombia,Caturra,Washed / Wet,7.75,7.5,7.5,7.42,8.0,7.75,10.0,7.17,83.08,,Green,2016
Brazil,Yellow Bourbon,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,10.0,7.58,83.08,905.0,Bluish-Green,2015
Brazil,Yellow Bourbon,Natural / Dry,7.33,7.67,7.67,7.33,7.75,7.42,10.0,7.92,83.08,1.0,Green,2015/2016
Taiwan,Typica,Natural / Dry,7.83,7.92,7.5,7.83,7.67,7.25,10.0,7.75,83.08,750.0,Green,2015
Brazil,Mundo Novo,Natural / Dry,7.42,7.67,7.58,7.5,7.75,7.67,10.0,7.5,83.08,,Green,2015
Brazil,Bourbon,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10.0,7.67,83.08,1200.0,Green,2014/2015
Costa Rica,Catuai,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,10.0,7.5,83.08,1300.0,Green,2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.33,7.75,7.58,7.33,7.83,7.67,10.0,7.58,83.08,,Bluish-Green,2013
Taiwan,Typica,Other,7.75,7.75,7.5,7.5,7.5,7.5,10.0,7.58,83.08,1300.0,,2013/2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,7.83,7.33,7.17,7.75,7.67,10.0,7.5,83.08,,Bluish-Green,2012
Mexico,Other,Washed / Wet,7.75,7.67,7.42,7.75,7.5,7.5,10.0,7.5,83.08,1400.0,,2012
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.67,7.58,7.5,7.67,7.92,8.0,10.0,8.08,83.08,,,2012
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.33,7.58,7.58,7.92,7.67,7.58,10.0,7.42,83.08,,Green,2012
Colombia,Caturra,,7.33,7.33,7.33,7.58,7.25,8.08,10.0,8.17,83.08,1775.0,,Mayo a Julio
Colombia,,,7.83,7.75,7.33,7.25,7.42,7.92,10.0,7.58,83.08,1880.0,,47/2010
Indonesia,,,7.67,7.58,7.5,7.58,7.67,7.58,10.0,7.5,83.08,1350.0,,2010
Guatemala,,,7.92,7.67,7.67,7.25,7.83,7.67,10.0,7.75,83.08,,,
Brazil,Bourbon,Natural / Dry,7.58,7.5,7.5,7.75,7.67,7.5,10.0,7.5,83.0,890.0,Green,2017 / 2018
Brazil,Bourbon,Natural / Dry,7.5,7.58,7.58,7.67,7.58,7.5,10.0,7.58,83.0,894.0,Green,2016
Brazil,Bourbon,Natural / Dry,7.5,7.67,7.58,7.67,7.58,7.42,10.0,7.58,83.0,872.0,Bluish-Green,2016
Uganda,Bourbon,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,10.0,7.58,83.0,1473.0,Green,2015
Uganda,Bourbon,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,10.0,7.67,83.0,1645.0,Green,2015
Colombia,,,7.67,7.67,7.33,7.67,7.5,7.58,10.0,7.58,83.0,442.0,Green,2016
Vietnam,Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67,10.0,8.0,83.0,1550.0,Green,2014
Guatemala,Catuai,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10.0,7.42,83.0,1550.0,Green,2015
Guatemala,Catuai,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10.0,7.58,83.0,1371.6,Green,2015
Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,10.0,7.33,83.0,1500.0,Green,2015
Brazil,Catuai,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,10.0,7.58,83.0,1000.0,Green,2014
Taiwan,Typica,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,10.0,7.17,83.0,1200.0,Green,2014
Uganda,SL14,Washed / Wet,7.83,7.58,7.5,7.5,7.58,7.5,10.0,7.5,83.0,1800.0,Green,2013
United States (Puerto Rico),Other,Washed / Wet,7.67,7.5,7.67,7.83,7.75,7.83,9.33,7.42,83.0,853.44,Bluish-Green,2013
Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,10.0,7.42,83.0,1500.0,Green,2014
Costa Rica,Catuai,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,7.67,83.0,1200.0,Green,2013
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.58,7.42,7.67,7.42,7.67,10.0,7.5,83.0,1250.0,Bluish-Green,2013/2014
Colombia,Caturra,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,10.0,8.25,83.0,1775.0,Green,2013
Colombia,Caturra,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,10.0,7.58,83.0,1750.0,Green,2013
Colombia,Caturra,Natural / Dry,7.33,7.67,7.75,7.42,7.75,7.58,10.0,7.5,83.0,1000.0,Green,2013
Colombia,Caturra,Natural / Dry,7.58,7.75,7.42,7.67,7.58,7.42,10.0,7.58,83.0,1000.0,Green,2013
Colombia,Caturra,Washed / Wet,7.5,7.5,7.42,7.58,7.75,7.58,10.0,7.67,83.0,1775.0,Green,2012
Mexico,Typica,Washed / Wet,7.67,7.58,7.42,7.5,7.67,7.58,10.0,7.58,83.0,750.0,Green,2012
Mexico,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.5,7.58,7.58,7.67,10.0,7.83,83.0,1200.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.5,7.67,7.5,7.5,7.58,7.58,10.0,7.67,83.0,1200.0,Green,2012
Colombia,Arusha,Natural / Dry,7.67,7.58,7.5,7.5,7.75,7.5,10.0,7.5,83.0,,,2012
Colombia,Caturra,Washed / Wet,7.75,7.58,7.5,7.67,7.83,7.75,10.0,7.58,83.0,1625.0,Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10.0,7.5,83.0,1750.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.5,7.67,7.5,7.83,10.0,7.33,83.0,1371.6,Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10.0,7.5,83.0,1775.0,Bluish-Green,2011
Thailand,,,7.33,7.67,7.58,7.5,7.75,7.67,10.0,7.5,83.0,,,2011
Colombia,,,7.33,7.67,7.58,7.33,7.58,7.92,10.0,7.58,83.0,1450.0,,Abril - Julio
United States (Hawaii),,,7.83,7.83,7.67,7.83,7.92,7.83,9.33,8.08,83.0,,,
United States (Hawaii),,,7.5,7.58,7.42,7.58,7.58,7.67,10.0,7.67,83.0,,,
Colombia,,,7.5,7.58,7.67,7.67,7.58,7.58,10.0,7.42,83.0,1800.0,,4t/2011
Nicaragua,Caturra,,7.58,7.83,7.75,7.92,7.92,8.08,9.33,7.92,83.0,,,2009-2010
Thailand,,,7.5,7.25,7.42,7.75,8.17,7.5,10.0,7.42,83.0,,,
Brazil,Bourbon,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10.0,7.5,82.92,890.0,Green,2017 / 2018
El Salvador,Bourbon,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,9.33,7.5,82.92,1350.0,Green,2017
Colombia,Caturra,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,10.0,7.58,82.92,1500.0,Green,2017
Taiwan,Caturra,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,10.0,7.75,82.92,350.0,Green,2016
Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,10.0,7.58,82.92,2000.0,Bluish-Green,2016
Taiwan,Typica,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,10.0,7.58,82.92,775.0,Green,2014
Philippines,Other,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,10.0,7.5,82.92,1200.0,Blue-Green,2015
Philippines,Other,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10.0,7.42,82.92,1600.0,Bluish-Green,2014
Mexico,Typica,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,10.0,7.58,82.92,1059.0,Blue-Green,2015
Mexico,Bourbon,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10.0,7.42,82.92,1300.0,Bluish-Green,2015
Brazil,Moka Peaberry,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10.0,7.58,82.92,,Green,2014/2015
Uganda,SL14,Washed / Wet,8.0,7.5,7.5,7.58,7.33,7.42,10.0,7.58,82.92,1650.0,Green,2013
Uganda,SL14,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,10.0,7.5,82.92,1400.0,Green,2013
Guatemala,Bourbon,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10.0,7.5,82.92,1500.0,Green,2014
Guatemala,Caturra,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10.0,7.67,82.92,1500.0,Green,2014
Guatemala,,Washed / Wet,7.58,7.58,7.25,7.58,7.58,7.58,10.0,7.75,82.92,,Green,2012
Colombia,Caturra,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10.0,7.58,82.92,1900.0,Green,2013
Colombia,Caturra,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,10.0,7.67,82.92,1750.0,Bluish-Green,2013
Guatemala,Bourbon,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,10.0,7.5,82.92,1706.88,Green,2013
Colombia,Other,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,10.0,7.5,82.92,1450.0,Green,2013
Mexico,Typica,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10.0,7.83,82.92,1248.0,Green,2012
Vietnam,Other,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,10.0,7.67,82.92,1040.0,,2012
Mexico,Typica,Washed / Wet,8.0,7.92,7.67,7.17,7.67,7.42,10.0,7.75,82.92,1400.0,Green,2012
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.5,7.5,7.5,7.42,7.67,7.83,10.0,7.5,82.92,,Green,2012
Colombia,,,7.5,7.75,7.33,7.75,7.08,7.83,10.0,7.67,82.92,1450.0,,Abril - Julio /2011
Thailand,,,7.42,7.58,7.5,7.17,7.5,8.0,10.0,7.75,82.92,,,
Kenya,SL28,Washed / Wet,7.75,7.58,7.42,7.58,7.5,7.5,10.0,7.5,82.83,1754.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,10.0,7.58,82.83,1700.0,Green,2017
Brazil,Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10.0,7.58,82.83,905.0,Bluish-Green,2015
El Salvador,Pacas,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,10.0,7.33,82.83,1250.0,Green,2016
Rwanda,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,8.0,82.83,1900.0,Bluish-Green,2015
Vietnam,Other,Other,7.25,7.58,7.5,7.42,7.75,7.42,10.0,7.92,82.83,1040.0,Green,2014
Guatemala,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10.0,7.5,82.83,1219.2,Green,2015
Brazil,Catuai,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10.0,7.67,82.83,900.0,Green,2015
Colombia,Other,Washed / Wet,7.83,7.67,7.5,7.58,7.5,7.67,10.0,7.08,82.83,1600.0,,2014
United States,Other,Other,7.42,7.58,7.25,7.5,7.75,7.75,10.0,7.58,82.83,1200.0,,2014
Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10.0,7.5,82.83,1500.0,Green,2014
Colombia,Typica,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,10.0,7.67,82.83,1800.0,Green,2013
Colombia,Caturra,Washed / Wet,7.83,7.5,7.5,7.42,7.5,7.5,10.0,7.58,82.83,1775.0,Green,2013
"Tanzania, United Republic Of",Arusha,Washed / Wet,7.67,7.5,7.33,7.25,7.58,7.75,10.0,7.75,82.83,1400.0,Green,2012
Mexico,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.5,10.0,7.5,82.83,1550.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,10.0,7.58,82.83,1250.0,Blue-Green,2012
Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.33,7.5,7.33,7.92,10.0,7.42,82.83,1310.64,Green,2012
Mexico,Typica,Washed / Wet,7.58,7.58,7.5,7.42,7.67,7.58,10.0,7.5,82.83,1380.0,,2012
El Salvador,,,7.75,7.58,7.75,7.75,7.25,7.5,10.0,7.25,82.83,1200.0,,2010-2011
Guatemala,Caturra,Washed / Wet,7.5,7.58,7.42,7.67,7.58,7.5,10.0,7.5,82.75,1100.0,Green,
Guatemala,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.42,10.0,7.5,82.75,1800.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.17,7.67,7.67,7.58,10.0,7.5,82.75,1700.0,Green,2017
Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.42,7.58,7.67,7.5,10.0,7.58,82.75,1219.2,Green,2017
Guatemala,Bourbon,Washed / Wet,7.42,7.58,7.42,7.67,7.5,7.5,10.0,7.67,82.75,1219.2,Green,2017
Indonesia,Sulawesi,Other,7.5,7.58,7.42,7.58,7.58,7.5,10.0,7.58,82.75,1500.0,Blue-Green,2017
Guatemala,Bourbon,Washed / Wet,7.58,7.58,7.33,7.58,7.33,7.67,10.0,7.67,82.75,157.8864,Green,2017
Taiwan,Yellow Bourbon,Natural / Dry,7.83,7.67,7.33,7.67,7.58,7.67,10.0,7.67,82.75,650.0,Green,2016
El Salvador,Bourbon,Washed / Wet,7.67,7.67,7.17,7.33,7.58,7.67,10.0,7.67,82.75,1250.0,,2017
Costa Rica,Caturra,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10.0,7.67,82.75,1850.0,Bluish-Green,2016
Honduras,Caturra,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10.0,7.67,82.75,1400.0,Green,2017
Brazil,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10.0,7.5,82.75,905.0,Bluish-Green,2015
China,Catimor,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10.0,7.58,82.75,1100.0,Green,2015
China,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10.0,7.5,82.75,1500.0,Green,2015
Colombia,Caturra,Washed / Wet,7.5,7.58,7.58,7.75,7.33,7.5,10.0,7.5,82.75,1775.0,Blue-Green,2014
Malawi,Gesha,Washed / Wet,7.75,7.58,7.42,7.5,7.33,7.5,10.0,7.67,82.75,1442.0,Bluish-Green,2014
Guatemala,Pacas,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10.0,7.42,82.75,1524.0,Green,2014
Colombia,Typica,Washed / Wet,7.67,7.42,7.42,7.58,7.33,7.67,10.0,7.67,82.75,165.0,Green,2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.67,7.58,7.42,7.83,7.33,7.5,10.0,7.42,82.75,,Blue-Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.58,7.83,7.75,7.75,7.42,8.0,10.0,7.75,82.75,,Green,2013
Colombia,Caturra,Washed / Wet,7.58,7.33,7.17,7.33,7.25,8.58,10.0,7.5,82.75,1300.0,Green,2013
Mexico,Typica,Washed / Wet,7.58,7.58,7.5,7.5,7.5,7.5,10.0,7.58,82.75,1550.0,Green,2013
Mexico,Typica,Washed / Wet,7.58,7.58,7.33,7.75,7.25,7.58,10.0,7.67,82.75,1200.0,,2012
Mexico,Typica,Natural / Dry,8.08,8.17,8.0,8.0,7.83,7.92,10.0,8.08,82.75,1200.0,,2012
Colombia,Caturra,Washed / Wet,7.5,7.58,7.42,7.67,7.5,7.58,10.0,7.5,82.75,1625.0,Blue-Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.5,7.42,10.0,7.42,82.75,1775.0,Green,2012
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.25,7.75,7.5,7.83,7.67,7.67,10.0,7.75,82.75,,Green,2012
Panama,Catuai,Washed / Wet,7.42,7.42,7.5,7.58,7.5,7.75,10.0,7.58,82.75,1100.0,Green,2012
United States (Hawaii),,,7.75,7.67,7.5,7.83,7.17,7.42,10.0,7.42,82.75,,,
Brazil,Bourbon,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10.0,7.5,82.67,890.0,Green,2017 / 2018
Brazil,Bourbon,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10.0,7.5,82.67,934.0,Bluish-Green,2016
Laos,Catimor,Washed / Wet,7.67,7.67,7.42,7.42,7.42,7.5,10.0,7.58,82.67,1300.0,Bluish-Green,2015
El Salvador,Pacas,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,9.33,7.5,82.67,1200.0,Green,2016
Mexico,,,7.5,7.67,7.42,7.75,7.42,7.17,10.0,7.75,82.67,1300.0,Green,2016
Colombia,,Washed / Wet,7.75,7.5,7.33,7.58,7.33,7.75,10.0,7.42,82.67,,Green,2015
Brazil,Yellow Bourbon,Natural / Dry,7.58,7.5,7.42,7.67,7.5,7.5,10.0,7.5,82.67,1.0,Green,2015/2016
Brazil,Catuai,Natural / Dry,7.33,7.5,7.58,7.58,7.67,7.5,10.0,7.5,82.67,,,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.58,10.0,7.58,82.67,1700.0,Green,2014
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.58,7.5,7.5,7.58,7.33,7.58,10.0,7.58,82.67,1550.0,Green,2014
Taiwan,Typica,Washed / Wet,8.0,7.83,7.83,7.42,7.25,7.25,10.0,7.08,82.67,1200.0,Green,2014
Mexico,Typica,Natural / Dry,7.67,7.58,7.42,7.5,7.42,7.5,10.0,7.58,82.67,1296.0,Green,2014
Uganda,SL14,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.5,10.0,7.5,82.67,1650.0,Green,2013
Taiwan,Typica,Washed / Wet,7.67,7.5,7.5,7.5,7.5,7.5,10.0,7.5,82.67,1240.0,Green,2013/2014
Thailand,Caturra,Washed / Wet,7.42,7.5,7.5,7.67,7.58,7.5,10.0,7.5,82.67,1500.0,Bluish-Green,2013
Colombia,Caturra,Washed / Wet,7.75,7.58,7.67,7.25,7.58,7.42,10.0,7.42,82.67,1800.0,Bluish-Green,2012
El Salvador,Other,Washed / Wet,7.92,8.0,7.5,6.75,7.92,7.58,9.33,7.67,82.67,,,2012
Guatemala,Caturra,Washed / Wet,7.67,7.67,7.17,7.67,7.5,7.5,10.0,7.5,82.67,1500.0,Green,2012
Thailand,Other,Washed / Wet,7.83,7.33,7.83,7.33,7.58,7.83,9.33,7.58,82.67,,Bluish-Green,2012
Mexico,Other,Washed / Wet,7.58,7.58,7.42,7.58,7.42,7.5,10.0,7.58,82.67,1100.0,,2012
Mexico,Typica,Washed / Wet,7.5,7.58,7.58,7.58,7.42,7.42,10.0,7.58,82.67,950.0,,2012
Colombia,,,7.33,7.58,7.42,7.42,7.67,7.67,10.0,7.58,82.67,3850.0,Green,Spring 2011 in Colombia.
United States (Hawaii),,,7.83,7.67,7.5,7.67,7.5,7.58,9.33,7.58,82.67,,,
Mexico,Blue Mountain,,7.75,7.58,7.25,7.75,7.67,7.58,10.0,7.08,82.67,1400.0,,2010-2011
Colombia,,,8.08,7.67,7.67,7.33,7.33,7.17,10.0,7.42,82.67,1800.0,,4T/10
Colombia,,,7.5,7.42,7.33,7.33,7.67,7.83,10.0,7.58,82.67,,,2009-2010
Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10.0,7.5,82.58,1219.2,Green,2017
Taiwan,Typica,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10.0,7.5,82.58,1050.0,Green,2016
Brazil,,Pulped natural / honey,7.5,7.58,7.42,7.5,7.75,7.33,10.0,7.5,82.58,,Green,2016
Taiwan,,,7.25,7.25,7.0,7.08,7.0,7.0,10.0,10.0,82.58,200.0,Blue-Green,2016 / 2017
Brazil,,,7.42,7.42,7.5,7.33,7.25,7.67,10.0,8.0,82.58,,Green,2016
Indonesia,Typica,Semi-washed / Semi-pulped,7.83,7.58,7.42,7.33,7.42,7.5,10.0,7.5,82.58,1250.0,Blue-Green,2015
Thailand,,Washed / Wet,7.75,7.33,7.42,7.67,7.42,7.5,10.0,7.5,82.58,800.0,Green,2014
